animal,Genus
Bearded tit,Panurus
Long-tailed tit,Aegithalos
Coal tit,Periparus
Blue tit,Cyanistes
Great tit,Parus
Great grey shrike,Lanius
Raven,Corvus
Hooded crow,Corvus
Carrion crow,Corvus
Rook,Corvus
Jackdaw,Coloeus
Chough,Pyrrhocorax
Jay,Garrulus
Magpie,Pica
Common rosefinch,Carpodacus
Twite,Linaria
Brambling,Fringilla
Hawfinch,Coccothraustes
Snow bunting,Plectrophenax
Corn bunting,Emberiza
Yellowhammer,Emberiza
Reed bunting,Emberiza
Common crossbill,Loxia
Bullfinch,Pyrrhula
Siskin,Spinus
Goldfinch,Carduelis
Greenfinch,Chloris
Lesser redpoll,Acanthis
Linnet,Linaria
Chaffinch,Fringilla
